event_id,load_id,trip_id,event_type,facility_id,scheduled_datetime,actual_datetime,detention_minutes,on_time_flag,location_city,location_state
EVT00000001,LOAD00000001,TRIP00000001,Pickup,FAC00034,"2022-01-01 18:00:00.000000","2022-01-01 20:58:55.918185",0,False,Houston,TX
EVT00000002,LOAD00000001,TRIP00000001,Delivery,FAC00046,"2022-01-02 23:10:55.918185","2022-01-02 21:30:22.142060",230,True,Detroit,MI
EVT00000003,LOAD00000002,TRIP00000002,Pickup,FAC00015,"2022-01-01 18:00:00.000000","2022-01-01 17:37:26.608430",62,True,"Kansas City",MO
EVT00000004,LOAD00000002,TRIP00000002,Delivery,FAC00050,"2022-01-02 02:13:26.608430","2022-01-02 05:55:46.238257",67,False,Indianapolis,IN
EVT00000005,LOAD00000003,TRIP00000003,Pickup,FAC00001,"2022-01-01 08:00:00.000000","2022-01-01 07:28:02.169634",83,True,Columbus,OH
EVT00000006,LOAD00000003,TRIP00000003,Delivery,FAC00022,"2022-01-03 04:28:02.169634","2022-01-03 03:05:02.833256",11,True,Portland,OR
EVT00000007,LOAD00000004,TRIP00000004,Pickup,FAC00029,"2022-01-01 17:00:00.000000","2022-01-01 19:32:56.020030",50,False,Phoenix,AZ
EVT00000008,LOAD00000004,TRIP00000004,Delivery,FAC00037,"2022-01-02 06:38:56.020030","2022-01-02 08:41:06.714927",142,False,Denver,CO
EVT00000009,LOAD00000005,TRIP00000005,Pickup,FAC00046,"2022-01-01 08:00:00.000000","2022-01-01 11:51:35.544202",73,False,Houston,TX
EVT00000010,LOAD00000005,TRIP00000005,Delivery,FAC00050,"2022-01-02 22:51:35.544202","2022-01-02 22:23:50.185284",236,True,Seattle,WA
EVT00000011,LOAD00000006,TRIP00000006,Pickup,FAC00043,"2022-01-01 10:00:00.000000","2022-01-01 11:11:18.602953",22,True,Chicago,IL
EVT00000012,LOAD00000006,TRIP00000006,Delivery,FAC00021,"2022-01-03 02:35:18.602953","2022-01-02 23:52:34.261273",0,False,Portland,OR
EVT00000013,LOAD00000007,TRIP00000007,Pickup,FAC00006,"2022-01-01 07:00:00.000000","2022-01-01 10:21:47.625320",4,False,"Las Vegas",NV
EVT00000014,LOAD00000007,TRIP00000007,Delivery,FAC00001,"2022-01-02 07:15:47.625320","2022-01-02 06:47:50.362676",84,True,"Kansas City",MO
EVT00000015,LOAD00000008,TRIP00000008,Pickup,FAC00046,"2022-01-01 17:00:00.000000","2022-01-01 15:37:17.514244",66,True,Philadelphia,PA
EVT00000016,LOAD00000008,TRIP00000008,Delivery,FAC00004,"2022-01-03 18:07:17.514244","2022-01-03 22:03:50.883833",111,False,Seattle,WA
EVT00000017,LOAD00000009,TRIP00000009,Pickup,FAC00001,"2022-01-01 17:00:00.000000","2022-01-01 15:09:54.283718",9,True,Miami,FL
EVT00000018,LOAD00000009,TRIP00000009,Delivery,FAC00028,"2022-01-03 18:33:54.283718","2022-01-04 00:08:52.967601",182,False,Seattle,WA
EVT00000019,LOAD00000010,TRIP00000010,Pickup,FAC00020,"2022-01-01 07:00:00.000000","2022-01-01 06:13:28.892373",159,True,Miami,FL
EVT00000020,LOAD00000010,TRIP00000010,Delivery,FAC00014,"2022-01-03 18:25:28.892373","2022-01-03 21:33:28.250329",230,False,Seattle,WA
EVT00000021,LOAD00000011,TRIP00000011,Pickup,FAC00016,"2022-01-01 17:00:00.000000","2022-01-01 15:00:25.529439",2,True,"Kansas City",MO
EVT00000022,LOAD00000011,TRIP00000011,Delivery,FAC00032,"2022-01-02 00:54:25.529439","2022-01-02 05:53:29.460204",0,False,Indianapolis,IN
EVT00000023,LOAD00000012,TRIP00000012,Pickup,FAC00021,"2022-01-01 15:00:00.000000","2022-01-01 18:36:16.218829",0,False,Memphis,TN
EVT00000024,LOAD00000012,TRIP00000012,Delivery,FAC00025,"2022-01-02 08:54:16.218829","2022-01-02 09:00:21.031626",30,True,Minneapolis,MN
EVT00000025,LOAD00000013,TRIP00000013,Pickup,FAC00033,"2022-01-01 10:00:00.000000","2022-01-01 12:41:12.554617",0,False,Atlanta,GA
EVT00000026,LOAD00000013,TRIP00000013,Delivery,FAC00003,"2022-01-02 01:05:12.554617","2022-01-02 06:25:17.464599",126,False,Miami,FL
EVT00000027,LOAD00000014,TRIP00000014,Pickup,FAC00046,"2022-01-01 10:00:00.000000","2022-01-01 13:30:18.138319",104,False,Portland,OR
EVT00000028,LOAD00000014,TRIP00000014,Delivery,FAC00040,"2022-01-03 00:30:18.138319","2022-01-03 04:07:54.869928",20,False,Detroit,MI
EVT00000029,LOAD00000015,TRIP00000015,Pickup,FAC00022,"2022-01-01 07:00:00.000000","2022-01-01 07:47:13.542430",0,True,Chicago,IL
EVT00000030,LOAD00000015,TRIP00000015,Delivery,FAC00002,"2022-01-01 19:11:13.542430","2022-01-01 17:45:11.758069",237,True,Charlotte,NC
EVT00000031,LOAD00000016,TRIP00000016,Pickup,FAC00009,"2022-01-01 10:00:00.000000","2022-01-01 13:33:41.029148",0,False,Philadelphia,PA
EVT00000032,LOAD00000016,TRIP00000016,Delivery,FAC00025,"2022-01-01 15:27:41.029148","2022-01-01 13:56:14.753508",30,True,"New York",NY
EVT00000033,LOAD00000017,TRIP00000017,Pickup,FAC00034,"2022-01-01 15:00:00.000000","2022-01-01 14:42:02.952632",0,True,"Kansas City",MO
EVT00000034,LOAD00000017,TRIP00000017,Delivery,FAC00010,"2022-01-02 16:12:02.952632","2022-01-02 17:29:23.553207",218,True,"Los Angeles",CA
EVT00000035,LOAD00000018,TRIP00000018,Pickup,FAC00043,"2022-01-01 13:00:00.000000","2022-01-01 11:42:26.571604",156,True,"Las Vegas",NV
EVT00000036,LOAD00000018,TRIP00000018,Delivery,FAC00046,"2022-01-02 13:30:26.571604","2022-01-02 11:18:22.416523",14,False,"Kansas City",MO
EVT00000037,LOAD00000019,TRIP00000019,Pickup,FAC00050,"2022-01-01 12:00:00.000000","2022-01-01 15:16:34.499671",77,False,Phoenix,AZ
EVT00000038,LOAD00000019,TRIP00000019,Delivery,FAC00013,"2022-01-03 11:58:34.499671","2022-01-03 11:42:50.996598",208,True,Philadelphia,PA
EVT00000039,LOAD00000020,TRIP00000020,Pickup,FAC00033,"2022-01-01 14:00:00.000000","2022-01-01 14:18:54.697099",8,True,Atlanta,GA
EVT00000040,LOAD00000020,TRIP00000020,Delivery,FAC00008,"2022-01-02 00:36:54.697099","2022-01-02 04:21:58.685278",95,False,Chicago,IL
EVT00000041,LOAD00000021,TRIP00000021,Pickup,FAC00028,"2022-01-01 10:00:00.000000","2022-01-01 11:44:40.281617",0,True,Charlotte,NC
EVT00000042,LOAD00000021,TRIP00000021,Delivery,FAC00024,"2022-01-03 11:44:40.281617","2022-01-03 11:31:46.468485",144,True,Seattle,WA
EVT00000043,LOAD00000022,TRIP00000022,Pickup,FAC00026,"2022-01-01 07:00:00.000000","2022-01-01 08:40:22.808653",141,True,Dallas,TX
EVT00000044,LOAD00000022,TRIP00000022,Delivery,FAC00041,"2022-01-01 23:16:22.808653","2022-01-02 04:53:41.010919",161,False,Indianapolis,IN
EVT00000045,LOAD00000023,TRIP00000023,Pickup,FAC00003,"2022-01-01 12:00:00.000000","2022-01-01 12:42:31.373576",2,True,Columbus,OH
EVT00000046,LOAD00000023,TRIP00000023,Delivery,FAC00037,"2022-01-03 11:06:31.373576","2022-01-03 10:45:56.519220",109,True,Portland,OR
EVT00000047,LOAD00000024,TRIP00000024,Pickup,FAC00042,"2022-01-01 07:00:00.000000","2022-01-01 08:02:23.487752",150,True,"Las Vegas",NV
EVT00000048,LOAD00000024,TRIP00000024,Delivery,FAC00050,"2022-01-02 03:56:23.487752","2022-01-02 08:16:47.057773",87,False,Dallas,TX
EVT00000049,LOAD00000025,TRIP00000025,Pickup,FAC00005,"2022-01-01 14:00:00.000000","2022-01-01 13:56:49.756118",110,True,Portland,OR
EVT00000050,LOAD00000025,TRIP00000025,Delivery,FAC00044,"2022-01-03 07:14:49.756118","2022-01-03 09:50:35.947544",135,False,Columbus,OH
EVT00000051,LOAD00000026,TRIP00000026,Pickup,FAC00041,"2022-01-01 16:00:00.000000","2022-01-01 16:30:25.626434",56,True,Houston,TX
EVT00000052,LOAD00000026,TRIP00000026,Delivery,FAC00011,"2022-01-02 01:54:25.626434","2022-01-01 23:53:22.542172",48,False,Memphis,TN
EVT00000053,LOAD00000027,TRIP00000027,Pickup,FAC00040,"2022-01-01 17:00:00.000000","2022-01-01 16:02:59.815921",67,True,"Kansas City",MO
EVT00000054,LOAD00000027,TRIP00000027,Delivery,FAC00030,"2022-01-02 00:20:59.815921","2022-01-02 06:11:31.801060",140,False,Indianapolis,IN
EVT00000055,LOAD00000028,TRIP00000028,Pickup,FAC00020,"2022-01-01 15:00:00.000000","2022-01-01 13:56:43.915878",94,True,Chicago,IL
EVT00000056,LOAD00000028,TRIP00000028,Delivery,FAC00040,"2022-01-03 00:08:43.915878","2022-01-03 04:01:49.975942",0,False,Portland,OR
EVT00000057,LOAD00000029,TRIP00000029,Pickup,FAC00045,"2022-01-01 12:00:00.000000","2022-01-01 10:35:07.173021",144,True,Miami,FL
